Latitude,Longitude,Month,Year,Publication
35.2117,139.3648,6,2016,Adachi_etal2017
-17.338642,178.768611,,,Agassiz_Mayer1899
9.95,137.7833,9,1899,Agassiz_Mayer1902
6.6833,137,9,1899,Agassiz_Mayer1902
2.633,137.336,9,1899,Agassiz_Mayer1902
-18.91667,146.5333,11,1899,Agassiz_Mayer1902
37.7744,-122.6759,,,AgassizA1865
18.23,-66.41,,,AgassizA1865
32.698,-79.805,,,AgassizA1865
41.53,-70.86,,,AgassizA1865
-26.166,-70.65,1,2015,Araya_etal2016
-26.43,-70.43,2,2015,Araya_etal2017
-26.833,-70.8,2,2015,Araya_etal2018
-26.96,-70.8,10,2014,Araya_etal2019
-27,-70.8,10,2014,Araya_etal2020
-27.03,-70.8,2,2015,Araya_etal2021
-27.03,-70.82,2,2015,Araya_etal2022
-27.066,-70.833,6,2015,Araya_etal2023
-27.083,-70.85,2,2015,Araya_etal2024
-27.1,-70.85,1,2015,Araya_etal2025
-27.133,-70.86667,9,2015,Araya_etal2026
-27.2333,-70.933,1,2015,Araya_etal2027
-27.333,-70.933,2,2015,Araya_etal2028
-33.92,151.28,,,Bigelow1904
-27.111,-109.36,,,Bigelow1911b
-23.24,-134.83,,,Bigelow1911b
44.646,-66.81,,,Bigelow1914
41.05,-70.85,,,Bigelow1917
40.03,-70.433,,,Bigelow1917
43.4667,-67.5,,,Bigelow1917
25.166,-166.33,,,Bigelow1919
43.5333,-65.14,6,1915,Bigelow1926
25.713,-80.1475,6,1971,Bingham_Albertson1975
25.713,-80.1475,1,1972,Bingham_Albertson1976
25.713,-80.1475,1,1972,Bingham_Albertson1977
25.713,-80.1475,2,1972,Bingham_Albertson1978
25.713,-80.1475,2,1972,Bingham_Albertson1979
25.713,-80.1475,3,1972,Bingham_Albertson1980
25.713,-80.1475,3,1972,Bingham_Albertson1981
25.713,-80.1475,3,1972,Bingham_Albertson1982
25.713,-80.1475,4,1972,Bingham_Albertson1983
25.713,-80.1475,4,1972,Bingham_Albertson1984
31.8922,-80.868,,,Birsa_etal2015
24.627227,-81.111,3,1923,Boone1933
-7.305,72.45,,,Brown1926
19.764,-54.612,4,2006,Bucklin_etal2010
38.2686,15.637,3,2009,Castriota_el2017
35.513698,12.588438,3,2014,Castriota_el2017
35.901193,14.435,,,Calleja_2009
50.77,1.59,4,1912,Caullery1912
40.685,14.148,,,Chun1881
16.002,-24.226,5,1969,Clark1970
16,-24.2,6,1969,Clark1970
16,-24.22,7,1969,Clark1970
41.359,-70.85,8,1961,Copeland1968
28.4766,-89.194,,,Copeland1968
25.707,-80.151,2,1978,Cormier_Hessinger1980
9.7426,-82.847,,,Cortes1997
10.854,-85.93,,,Cortes1997
10.622,-85.654,,,Cortes1997
10.4,-85.811,,,Cortes1997
8.7068,-83.881,,,Cortes1997
-33.899,151.29,10,1932,Dakin_Colefax1933
13.077,80.301,,,Daniel_Daniel1963c
-5,91,,,Daniel1985
12,82,,,Daniel1986
-8,60,,,Daniel1987
17,82,,,Daniel1988
11,81,,,Daniel1989
-35,69,,,Daniel1990
-39,60,,,Daniel1991
52.0816,-10.1823,4,1907,Delap1924
39.15,-72.4,,,dunn2005a_Thesis
16.118,-61.564,7,1823,Figuier1868
43.3,-22.5,7,2012,Ferrer_etal2013
43.29,-2.16,7,2012,Ferrer_etal2013
43.4,-2.2,7,2012,Ferrer_etal2013
43.3,-2.17,7,2012,Ferrer_etal2013
43.29,-2.18,8,2012,Ferrer_etal2013
43.29,-2.18,8,2012,Ferrer_etal2013
43.43,-2.9,8,2012,Ferrer_etal2013
43.31,-2.13,8,2012,Ferrer_etal2013
43.32,-2.41,8,2012,Ferrer_etal2013
43.29,-2.16,8,2012,Ferrer_etal2013
43.32,-2,8,2012,Ferrer_etal2013
43.35,-3.12,8,2012,Ferrer_etal2013
43.3,-2.35,8,2012,Ferrer_etal2013
43.29,-2.16,8,2012,Ferrer_etal2013
43.33,-2.01,8,2012,Ferrer_etal2013
43.42,-2.95,8,2012,Ferrer_etal2013
43.42,-2.95,8,2012,Ferrer_etal2013
43.33,-1.93,8,2012,Ferrer_etal2013
43.35,-3.12,8,2012,Ferrer_etal2013
43.36,-2.48,8,2012,Ferrer_etal2013
43.29,-2.16,8,2012,Ferrer_etal2013
43.36,-2.49,8,2012,Ferrer_etal2013
43.29,-2.16,8,2012,Ferrer_etal2013
43.41,-2.94,8,2012,Ferrer_etal2013
43.3,-2.2,8,2012,Ferrer_etal2013
43.39,-3,9,2012,Ferrer_etal2013
43.41,-2.66,9,2012,Ferrer_etal2013
37.38333,-69.133,,,Fewkes1899a
37.716,-66.933,,,Fewkes1899a
38.984,-70.116,,,Fewkes1899a
38.33,-70.833,,,Fewkes1899a
36.7833,-73.15,,,Fewkes1899a
36.566,-73.8,,,Fewkes1899a
36.5833,-74.05,,,Fewkes1899a
43.775,-8.082,,,Foot1867
